year_month,category,amount,monthly_amount_lag1,rolling_mean_3m
2019-01,Bonus,1128974.0,,
2019-01,Salary,733187.0,,
2019-01,Savigs,158.0,,
2019-01,Savings,11699.0,,
2019-01,Savinngs,612.0,,
2019-01,Trael,216.0,,
2019-01,Trave,404.0,,
2019-01,Saavings,3104.0,,
2019-01,Travel,19612.0,,
2019-01,Travl,1457.0,,
2019-01,Utilities,19172.0,,
2019-01,Utilitiess,437.0,,
2019-01,Utilitis,80.0,,
2019-01,Utilitise,2273.0,,
2019-01,unknown,6034.0,,
2019-01,Travell,1277.0,,
2019-01,Retn,1364.0,,
2019-01,Tarvel,2534.0,,
2019-01,Reent,2365.0,,
2019-01,Education,6621.0,,
2019-01,Rent,40645.0,,
2019-01,Entertainent,216.0,,
2019-01,Entertainment,7582.0,,
2019-01,Fodo,660.0,,
2019-01,Food,49558.0,,
2019-01,Foood,1856.0,,
2019-01,Enertainment,537.0,,
2019-01,OOther Income,44955.0,,
2019-01,Other Incoe,56621.0,,
2019-01,Other Income,819770.0,,
2019-01,Others,9330.0,,
2019-01,Othhers,892.0,,
2019-01,RRent,1254.0,,
2019-01,Health,522.0,,
2019-02,Savings,12465.0,11699.0,
2019-02,Tavel,35.0,,
2019-02,Trravel,524.0,,
2019-02,Utiilties,128.0,,
2019-02,Utiities,430.0,,
2019-02,ood,326.0,,
2019-02,Utilties,1747.0,,
2019-02,ent,509.0,,
2019-02,thers,7458.0,,
2019-02,unknown,2455.0,6034.0,
2019-02,Salary,972030.0,733187.0,
2019-02,Utilities,14572.0,19172.0,
2019-02,Ret,537.0,,
2019-02,Travel,29414.0,19612.0,
2019-02,Ren,167.0,,
2019-02,Rent,63623.0,40645.0,
2019-02,Bonnus,52527.0,,
2019-02,Bonus,1164064.0,1128974.0,
2019-02,Education,1147.0,6621.0,
2019-02,Entertainment,9319.0,7582.0,
2019-02,Fod,1812.0,,
2019-02,Educatioon,797.0,,
2019-02,Health,2660.0,522.0,
2019-02,Heealth,2883.0,,
2019-02,Other Icome,40577.0,,
2019-02,Other Income,917200.0,819770.0,
2019-02,Others,4285.0,9330.0,
2019-02,Food,61156.0,49558.0,
2019-03,Savingss,294.0,,
2019-03,Salary,1050212.0,972030.0,918476.3333333334
2019-03,Sallary,62019.0,,
2019-03,Salray,62538.0,,
2019-03,Savigns,2975.0,,
2019-03,Savings,7492.0,12465.0,10552.0
2019-03,Tavel,451.0,35.0,
2019-03,tOher Income,72011.0,,
2019-03,Travel,28282.0,29414.0,25769.333333333332
2019-03,Utiilities,327.0,,
2019-03,Utilities,25552.0,14572.0,19765.333333333332
2019-03,eRnt,273.0,,
2019-03,oBnus,86907.0,,
2019-03,unknown,131029.0,2455.0,46506.0
2019-03,Traevl,428.0,,
2019-03,Rnet,206.0,,
2019-03,Rent,57922.0,63623.0,54063.333333333336
2019-03,Rennt,1648.0,,
2019-03,Bonus,832620.0,1164064.0,1041886.0
2019-03,Ret,1101.0,537.0,
2019-03,Enteratinment,429.0,,
2019-03,Entertainment,27434.0,9319.0,14778.333333333334
2019-03,Etertainment,2860.0,,
2019-03,Fod,494.0,1812.0,
2019-03,Education,4983.0,1147.0,4250.333333333333
2019-03,Health,1666.0,2660.0,1616.0
2019-03,Otehr Income,59622.0,,
2019-03,Other Income,857022.0,917200.0,864664.0
