Model,MAE,RMSE,R2,MAPE,MAE_Rank,RMSE_Rank,R2_Rank,MAPE_Rank,Overall_Score
Random Forest,11408.764406813469,37857.74018494814,0.9729816766503188,2567.331808702953,1.0,1.0,1.0,5.0,8.0
XGBoost,14891.08936525916,45039.17634303631,0.961758941787522,5786.438432742863,2.0,2.0,2.0,7.0,13.0
LightGBM,19680.04860013539,55325.724964729685,0.9422963547717366,5294.281879606886,3.0,3.0,3.0,6.0,15.0
CNN-1D,23445.548599425056,68324.5215597696,0.911996038844091,6381.617685073318,4.0,4.0,4.0,8.0,20.0
ARIMA,594724.1430854065,935045.6922320422,0.6590922674552462,,9.0,9.0,6.0,,24.0
Linear Regression,26772.26141910603,76350.44802779857,0.8901064502922631,11336.32584438882,5.0,5.0,5.0,9.0,24.0
BiLSTM,96563.50030756972,249738.04926694,-0.1757593804462802,169.24083102306156,6.0,6.0,8.0,4.0,24.0
GRU,96586.99582091716,249748.35882253703,-0.1758564566181721,145.76181530707427,7.0,7.0,9.0,3.0,26.0
LSTM,96603.20626308504,249754.9158522926,-0.1759182005833666,134.62007413490335,8.0,8.0,10.0,2.0,28.0
Prophet,1309639.6006495776,1486958.6046898337,0.1378775758894442,31.04420833912631,10.0,10.0,7.0,1.0,28.0
