transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year,month,day,weekday,is_weekend,year_month,merchant,amount_log1p
T03512,U039,2021-12-22,Expense,Rent,998.0,Cash,Pune,Paid electricity bill ,2021,12,22,Wednesday,False,2021-12,unknown,6.906754778648554
T03261,U179,2022-03-24,Expense,Food,143.0,Card,Delhi,Grocery shopping,2022,3,24,Thursday,False,2022-03,unknown,4.969813299576001
T04316,U143,2022-10-18,Expense,Rent,149.0,Cash,Bengaluru,,2022,10,18,Tuesday,False,2022-10,unknown,5.0106352940962555
T05649,U079,2021-12-12,Expense,Rent,49.0,UPI,,Paid electricity bill,2021,12,12,Sunday,True,2021-12,unknown,3.912023005428146
T04246,U188,2022-07-12,Expense,Entertainment,208.0,UPI,Hyderabad,Monthly rent,2022,7,12,Tuesday,False,2022-07,unknown,5.342334251964811
T01814,U150,2019-09-12,Expense,Savings,681.0,Cash,Kolkata,Salary,2019,9,12,Thursday,False,2019-09,unknown,6.525029657843462
T06293,U014,2022-06-01,Expense,Rent,2524.0,Bank Transfer,,Salary,2022,6,1,Wednesday,False,2022-06,unknown,7.83399634170946
T07930,U138,2022-11-04,Expense,Education,93.0,Bank Transfer,Pune,hZtATyn1UX55solCMr1,2022,11,4,Friday,False,2022-11,unknown,4.543294782270004
T04656,U112,2021-02-03,Expense,Food,323.0,UPI,Ahmedabad,Monthly rent,2021,2,3,Wednesday,False,2021-02,unknown,5.780743515792329
T11712,U117,2022-11-02,Expense,Others,662.0,UPI,Chennai,Salary cash,2022,11,2,Wednesday,False,2022-11,unknown,6.4967749901858625
T00308,U009,2022-11-21,Expense,Food,1019.0,UPI,Kolkata,,2022,11,21,Monday,False,2022-11,unknown,6.927557906278317
T01783,U092,2022-12-29,Expense,Entertainmennt,203.0,Bank Transfer,jaipur,Course fee ,2022,12,29,Thursday,False,2022-12,unknown,5.318119993844216
T09558,U082,2020-10-26,Income,Salaryy,59149.0,Bank Transfer,Chennai,Netflix subscription,2020,10,26,Monday,False,2020-10,unknown,10.987831869406532
T09993,U148,2021-05-25,Income,Other Income,78744.0,Bank Transfer,,Doctor visit,2021,5,25,Tuesday,False,2021-05,unknown,11.273970062608681
T02596,U050,2021-03-03,Income,Other Income,58874.0,Card,Bengaluru,Salary,2021,3,3,Wednesday,False,2021-03,unknown,10.98317183131872
