Model,Horizon,MAE,RMSE,MAPE,DirAcc
LinearRegression,1,130065.85838370817,130065.85838370817,3.364007897585021,
LinearRegression,3,389040.85539041366,536990.141617389,11.830072022852749,100.0
LinearRegression,6,287591.5325280542,411423.3518036201,8.364186297339437,60.0
ARIMA,1,174655.74422213156,174655.74422213156,4.517275403576891,
ARIMA,3,368580.1962783346,513291.7030303883,11.229051779158496,50.0
ARIMA,6,269514.7767137035,389654.0195400693,7.847200685591556,60.0
Prophet,1,949637.428493537,949637.428493537,24.561309547277304,
Prophet,3,1536889.7218587454,1610711.2519380117,43.630738166205504,100.0
Prophet,6,1088777.3504667503,1253067.9924765131,30.210017436337427,40.0
RandomForest,1,50907.22726239916,50907.22726239916,1.3166584735069649,
RandomForest,3,339382.69896538695,531804.3991897609,10.572411606721117,0.0
RandomForest,6,256004.63900390183,408858.2824051411,7.576679709738779,60.0
XGBoost,1,63257.000053999946,63257.000053999946,1.6360715287129224,
XGBoost,3,325147.85660133325,412773.50736650964,8.753105412825558,0.0
XGBoost,6,364801.65823933325,443557.5293476286,9.566429350149464,40.0
LightGBM,1,20955.07597374497,20955.07597374497,0.541979593616414,
LightGBM,3,105104.72900923109,138882.91317097578,2.7965970527465878,50.0
LightGBM,6,406359.5449436622,583136.9681148111,10.225320530387089,40.0
LSTM,1,3866396.353692351,3866396.353692351,100.00001561243054,
LSTM,3,3657656.922051066,3675500.3270268757,99.99999473043609,100.0
LSTM,6,3787116.772237085,3799869.8306046883,99.9999919660398,40.0
