Model,MAE,RMSE,R2,MAPE
Linear Regression,26772.26141910603,76350.44802779857,0.8901064502922631,11336.32584438882
ARIMA,594724.1430854065,935045.6922320422,0.6590922674552462,
Random Forest,11408.764406813469,37857.74018494814,0.9729816766503188,2567.331808702953
LightGBM,19680.04860013539,55325.724964729685,0.9422963547717366,5294.281879606886
LSTM,96603.20626308504,249754.9158522926,-0.1759182005833666,134.62007413490335
GRU,96586.99582091716,249748.35882253703,-0.1758564566181721,145.76181530707427
BiLSTM,96563.50030756972,249738.04926694,-0.1757593804462802,169.24083102306156
CNN-1D,23445.548599425056,68324.5215597696,0.911996038844091,6381.617685073318
Prophet,1309639.6006495776,1486958.6046898337,0.1378775758894442,31.04420833912631
XGBoost,179839.02462500936,262487.99328175414,0.9731348004978612,4.441273664489463
Moving Average,552467.1905376203,909299.6476738875,0.6776072771530397,13.026398060656547
